Run,analyte_type,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,biospecimen_repository,biospecimen_repository_sample_id,body_site,Bytes,Center Name,Consent_Code,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,gap_accession,histological_type,Instrument,is_tumor,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sex,SRA Study,study_design,study_name,submitted_subject_id
SRR10826555,RNA,RNA-Seq,100,1636934000,PRJNA568199,SAMN13717216,BrainDevelopment_Autism,1474-20432474_1474_S63_L007,Brain,557260060,NIMH-PHS001900,1,GRU,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX7499929,phs001900,Neocortex,Illumina HiSeq 2500,No,1474-20432474_1474_S63_L007,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-09T00:00:00Z,1474-20432474_1474_S63_L007,male,SRP239428,Prospective Longitudinal Cohort,Genetic Control of Expression and Splicing in Developing Human Brain,1474
SRR10826556,RNA,RNA-Seq,100,1645031500,PRJNA568199,SAMN13717417,BrainDevelopment_Autism,1474-20432474_1474_S63_L008,Brain,558785488,NIMH-PHS001900,1,GRU,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX7499930,phs001900,Neocortex,Illumina HiSeq 2500,No,1474-20432474_1474_S63_L008,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-09T00:00:00Z,1474-20432474_1474_S63_L008,male,SRP239428,Prospective Longitudinal Cohort,Genetic Control of Expression and Splicing in Developing Human Brain,1474
SRR10826557,RNA,RNA-Seq,100,2026370300,PRJNA568199,SAMN13717158,BrainDevelopment_Autism,1474-20623832_1474_S63_L007,Brain,685621749,NIMH-PHS001900,1,GRU,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX7499931,phs001900,Neocortex,Illumina HiSeq 2500,No,1474-20623832_1474_S63_L007,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-09T00:00:00Z,1474-20623832_1474_S63_L007,male,SRP239428,Prospective Longitudinal Cohort,Genetic Control of Expression and Splicing in Developing Human Brain,1474
SRR10826558,RNA,RNA-Seq,100,2037526300,PRJNA568199,SAMN13717468,BrainDevelopment_Autism,1474-20623832_1474_S63_L008,Brain,688273196,NIMH-PHS001900,1,GRU,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX7499932,phs001900,Neocortex,Illumina HiSeq 2500,No,1474-20623832_1474_S63_L008,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-09T00:00:00Z,1474-20623832_1474_S63_L008,male,SRP239428,Prospective Longitudinal Cohort,Genetic Control of Expression and Splicing in Developing Human Brain,1474
SRR10826559,RNA,RNA-Seq,100,1923612800,PRJNA568199,SAMN13717196,BrainDevelopment_Autism,1496-20514588_1496_S31_L003,Brain,615582475,NIMH-PHS001900,1,GRU,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX7499933,phs001900,Neocortex,Illumina HiSeq 2500,No,1496-20514588_1496_S31_L003,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-09T00:00:00Z,1496-20514588_1496_S31_L003,female,SRP239428,Prospective Longitudinal Cohort,Genetic Control of Expression and Splicing in Developing Human Brain,1496
SRR10826560,RNA,RNA-Seq,100,1923555800,PRJNA568199,SAMN13716987,BrainDevelopment_Autism,1496-20514588_1496_S31_L004,Brain,614970804,NIMH-PHS001900,1,GRU,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX7499934,phs001900,Neocortex,Illumina HiSeq 2500,No,1496-20514588_1496_S31_L004,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-09T00:00:00Z,1496-20514588_1496_S31_L004,female,SRP239428,Prospective Longitudinal Cohort,Genetic Control of Expression and Splicing in Developing Human Brain,1496
SRR10826561,RNA,RNA-Seq,100,1955978900,PRJNA568199,SAMN13717275,BrainDevelopment_Autism,1496-20514653_1496_S31_L003,Brain,625872221,NIMH-PHS001900,1,GRU,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX7499935,phs001900,Neocortex,Illumina HiSeq 2500,No,1496-20514653_1496_S31_L003,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-09T00:00:00Z,1496-20514653_1496_S31_L003,female,SRP239428,Prospective Longitudinal Cohort,Genetic Control of Expression and Splicing in Developing Human Brain,1496
SRR10826562,RNA,RNA-Seq,100,1953330200,PRJNA568199,SAMN13717085,BrainDevelopment_Autism,1496-20514653_1496_S31_L004,Brain,625594700,NIMH-PHS001900,1,GRU,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX7499936,phs001900,Neocortex,Illumina HiSeq 2500,No,1496-20514653_1496_S31_L004,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-09T00:00:00Z,1496-20514653_1496_S31_L004,female,SRP239428,Prospective Longitudinal Cohort,Genetic Control of Expression and Splicing in Developing Human Brain,1496
SRR10826563,RNA,RNA-Seq,100,1574981400,PRJNA568199,SAMN13717563,BrainDevelopment_Autism,1500-20514613_1500_S56_L007,Brain,537075140,NIMH-PHS001900,1,GRU,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX7499937,phs001900,Neocortex,Illumina HiSeq 2500,No,1500-20514613_1500_S56_L007,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-09T00:00:00Z,1500-20514613_1500_S56_L007,male,SRP239428,Prospective Longitudinal Cohort,Genetic Control of Expression and Splicing in Developing Human Brain,1500
SRR10826564,RNA,RNA-Seq,100,1586282500,PRJNA568199,SAMN13717256,BrainDevelopment_Autism,1500-20514613_1500_S56_L008,Brain,539589046,NIMH-PHS001900,1,GRU,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX7499938,phs001900,Neocortex,Illumina HiSeq 2500,No,1500-20514613_1500_S56_L008,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-09T00:00:00Z,1500-20514613_1500_S56_L008,male,SRP239428,Prospective Longitudinal Cohort,Genetic Control of Expression and Splicing in Developing Human Brain,1500
